file,n_probe,rank_r,layer_group,seed,layer_used,heldout_lang_acc,complement_acc,principal_angle_median_cos,predicate_pass
results/m1/n100_r2_all_non_upper_s43.npz,100,2,all_non_upper,43,14,0.2772727272727273,0.8863636363636362,0.12721745669841766,False
results/m1/n100_r2_all_non_upper_s44.npz,100,2,all_non_upper,44,14,0.32272727272727275,0.868181818181818,0.15508781373500824,False
results/m1/n100_r2_early_s42.npz,100,2,early,42,6,0.2636363636363636,0.9363636363636364,0.11504578590393066,False
results/m1/n100_r2_early_s43.npz,100,2,early,43,6,0.33636363636363636,0.9363636363636363,0.07780764251947403,False
results/m1/n100_r2_early_s44.npz,100,2,early,44,6,0.25,0.9090909090909091,0.07097216695547104,False
results/m1/n100_r2_mid_s42.npz,100,2,mid,42,18,0.19545454545454544,0.8909090909090908,0.14399318397045135,False
results/m1/n100_r2_mid_s43.npz,100,2,mid,43,18,0.29090909090909095,0.8409090909090909,0.09781008213758469,False
results/m1/n100_r2_mid_s44.npz,100,2,mid,44,18,0.2545454545454545,0.8363636363636363,0.09142670780420303,False
results/m1/n100_r32_all_non_upper_s42.npz,100,32,all_non_upper,42,14,0.8454545454545456,0.5954545454545456,0.13781848549842834,False
results/m1/n100_r32_all_non_upper_s43.npz,100,32,all_non_upper,43,14,0.8318181818181817,0.6772727272727272,0.12751515209674835,False
results/m1/n100_r32_all_non_upper_s44.npz,100,32,all_non_upper,44,14,0.7818181818181817,0.6545454545454545,0.12471020221710205,False
results/m1/n100_r32_early_s42.npz,100,32,early,42,6,0.95,0.7136363636363637,0.0960332602262497,False
results/m1/n100_r32_early_s43.npz,100,32,early,43,6,0.9545454545454546,0.7136363636363637,0.12545186281204224,False
results/m1/n100_r32_early_s44.npz,100,32,early,44,6,0.9272727272727274,0.6863636363636363,0.1061154454946518,False
results/m1/n100_r32_mid_s42.npz,100,32,mid,42,18,0.7636363636363637,0.6363636363636364,0.15538495779037476,False
results/m1/n100_r32_mid_s43.npz,100,32,mid,43,18,0.7181818181818183,0.6181818181818182,0.12097552418708801,False
results/m1/n100_r32_mid_s44.npz,100,32,mid,44,18,0.7045454545454546,0.6090909090909091,0.1419256329536438,False
results/m1/n100_r4_all_non_upper_s42.npz,100,4,all_non_upper,42,14,0.5454545454545454,0.8409090909090909,0.13078874349594116,False
results/m1/n100_r4_all_non_upper_s43.npz,100,4,all_non_upper,43,14,0.4318181818181818,0.85,0.12902994453907013,False
results/m1/n100_r4_all_non_upper_s44.npz,100,4,all_non_upper,44,14,0.4227272727272727,0.8272727272727273,0.1467493623495102,False
results/m1/n100_r4_early_s42.npz,100,4,early,42,6,0.4954545454545455,0.9181818181818181,0.06421518325805664,False
results/m1/n100_r4_early_s43.npz,100,4,early,43,6,0.49090909090909085,0.9090909090909091,0.11477546393871307,False
results/m1/n100_r4_early_s44.npz,100,4,early,44,6,0.4681818181818182,0.8954545454545454,0.11316249519586563,False
results/m1/n100_r4_mid_s42.npz,100,4,mid,42,18,0.4318181818181818,0.8454545454545453,0.12828794121742249,False
results/m1/n100_r4_mid_s43.npz,100,4,mid,43,18,0.40454545454545454,0.7954545454545454,0.13703368604183197,False
results/m1/n100_r4_mid_s44.npz,100,4,mid,44,18,0.40454545454545454,0.7954545454545454,0.1336745172739029,False
results/m1/n100_r8_all_non_upper_s42.npz,100,8,all_non_upper,42,14,0.7272727272727273,0.6772727272727272,0.10904064774513245,False
results/m1/n100_r8_all_non_upper_s43.npz,100,8,all_non_upper,43,14,0.7045454545454546,0.7409090909090907,0.11791788041591644,False
results/m1/n100_r8_all_non_upper_s44.npz,100,8,all_non_upper,44,14,0.7000000000000001,0.7000000000000001,0.1114005520939827,False
results/m1/n100_r8_early_s42.npz,100,8,early,42,6,0.7772727272727273,0.8181818181818182,0.0860615074634552,False
results/m1/n100_r8_early_s43.npz,100,8,early,43,6,0.8136363636363636,0.7999999999999999,0.07404187321662903,False
results/m1/n100_r8_early_s44.npz,100,8,early,44,6,0.7409090909090911,0.7863636363636363,0.10111863166093826,False
results/m1/n100_r8_mid_s42.npz,100,8,mid,42,18,0.6727272727272727,0.7272727272727273,0.10766258835792542,False
results/m1/n100_r8_mid_s43.npz,100,8,mid,43,18,0.7045454545454546,0.6727272727272727,0.12711970508098602,False
results/m1/n100_r8_mid_s44.npz,100,8,mid,44,18,0.6454545454545455,0.6681818181818181,0.13486215472221375,False
results/m1/n250_r16_all_non_upper_s42.npz,250,16,all_non_upper,42,14,0.8227272727272726,0.4681818181818182,0.16735726594924927,False
results/m1/n250_r16_all_non_upper_s43.npz,250,16,all_non_upper,43,14,0.8272727272727274,0.44999999999999996,0.12764188647270203,False
results/m1/n250_r16_all_non_upper_s44.npz,250,16,all_non_upper,44,14,0.8090909090909091,0.49090909090909096,0.12671303749084473,False
results/m1/n250_r16_early_s42.npz,250,16,early,42,6,0.9545454545454544,0.5136363636363637,0.10555654764175415,False
results/m1/n250_r16_early_s43.npz,250,16,early,43,6,0.9681818181818183,0.49090909090909085,0.11325528472661972,False
results/m1/n250_r16_early_s44.npz,250,16,early,44,6,0.9227272727272727,0.4454545454545455,0.10205753892660141,False
results/m1/n250_r16_mid_s42.npz,250,16,mid,42,18,0.7818181818181817,0.48636363636363633,0.15008947253227234,False
results/m1/n250_r16_mid_s43.npz,250,16,mid,43,18,0.8136363636363636,0.4,0.11885372549295425,False
results/m1/n250_r16_mid_s44.npz,250,16,mid,44,18,0.740909090909091,0.4318181818181819,0.11767937242984772,False
results/m1/n250_r1_all_non_upper_s42.npz,250,1,all_non_upper,42,14,0.17272727272727273,0.9272727272727272,0.34554532170295715,False
results/m1/n250_r1_all_non_upper_s43.npz,250,1,all_non_upper,43,14,0.16363636363636364,0.9045454545454544,0.2567046880722046,False
results/m1/n250_r1_all_non_upper_s44.npz,250,1,all_non_upper,44,14,0.17272727272727273,0.881818181818182,0.23168250918388367,False
results/m1/n250_r1_early_s42.npz,250,1,early,42,6,0.18181818181818182,0.9772727272727273,0.25073763728141785,False
results/m1/n250_r1_early_s43.npz,250,1,early,43,6,0.18181818181818182,0.95,0.07223872095346451,False
results/m1/n250_r1_early_s44.npz,250,1,early,44,6,0.18181818181818182,0.9454545454545454,0.06797419488430023,False
results/m1/n250_r1_mid_s42.npz,250,1,mid,42,18,0.16818181818181818,0.9,0.29766687750816345,False
results/m1/n250_r1_mid_s43.npz,250,1,mid,43,18,0.17727272727272728,0.8727272727272727,0.24316447973251343,False
results/m1/n250_r1_mid_s44.npz,250,1,mid,44,18,0.14545454545454548,0.859090909090909,0.1599368453025818,False
results/m1/n250_r2_all_non_upper_s42.npz,250,2,all_non_upper,42,14,0.18636363636363634,0.8909090909090908,0.17953315377235413,False
results/m1/n250_r2_all_non_upper_s43.npz,250,2,all_non_upper,43,14,0.30000000000000004,0.8772727272727271,0.12376442551612854,False
results/m1/n250_r2_all_non_upper_s44.npz,250,2,all_non_upper,44,14,0.35454545454545455,0.85,0.15465666353702545,False
results/m1/n250_r2_early_s42.npz,250,2,early,42,6,0.2727272727272727,0.9318181818181818,0.12623117864131927,False
results/m1/n250_r2_early_s43.npz,250,2,early,43,6,0.3590909090909091,0.9181818181818181,0.07847803086042404,False
results/m1/n250_r2_early_s44.npz,250,2,early,44,6,0.36363636363636365,0.9,0.07240226119756699,False
results/m1/n250_r2_mid_s42.npz,250,2,mid,42,18,0.35000000000000003,0.859090909090909,0.14481042325496674,False
results/m1/n250_r2_mid_s43.npz,250,2,mid,43,18,0.25,0.8454545454545456,0.10283969342708588,False
results/m1/n250_r2_mid_s44.npz,250,2,mid,44,18,0.2590909090909091,0.8272727272727273,0.09066979587078094,False
results/m1/n250_r32_all_non_upper_s42.npz,250,32,all_non_upper,42,14,0.8227272727272726,0.4681818181818182,0.13493503630161285,False
results/m1/n250_r32_all_non_upper_s43.npz,250,32,all_non_upper,43,14,0.8272727272727274,0.44999999999999996,0.1263556182384491,False
results/m1/n250_r32_all_non_upper_s44.npz,250,32,all_non_upper,44,14,0.8090909090909091,0.49090909090909096,0.11515334248542786,False
results/m1/n250_r32_early_s42.npz,250,32,early,42,6,0.9545454545454544,0.5136363636363637,0.0914088636636734,False
results/m1/n250_r32_early_s43.npz,250,32,early,43,6,0.9681818181818183,0.49090909090909085,0.1149076595902443,False
results/m1/n250_r32_early_s44.npz,250,32,early,44,6,0.9227272727272727,0.4454545454545455,0.11217144131660461,False
results/m1/n250_r32_mid_s42.npz,250,32,mid,42,18,0.7818181818181817,0.48636363636363633,0.12377125769853592,False
results/m1/n250_r32_mid_s43.npz,250,32,mid,43,18,0.8136363636363636,0.4,0.12470495700836182,False
results/m1/n250_r32_mid_s44.npz,250,32,mid,44,18,0.740909090909091,0.4318181818181819,0.14003655314445496,False
results/m1/n250_r4_all_non_upper_s42.npz,250,4,all_non_upper,42,14,0.5181818181818182,0.8,0.1268344521522522,False
results/m1/n250_r4_all_non_upper_s43.npz,250,4,all_non_upper,43,14,0.43636363636363634,0.8045454545454546,0.11793187260627747,False
results/m1/n250_r4_all_non_upper_s44.npz,250,4,all_non_upper,44,14,0.43636363636363634,0.8,0.1409083902835846,False
results/m1/n250_r4_early_s42.npz,250,4,early,42,6,0.5454545454545454,0.9045454545454547,0.058818429708480835,False
results/m1/n250_r4_early_s43.npz,250,4,early,43,6,0.4818181818181818,0.8590909090909092,0.11484616249799728,False
results/m1/n250_r4_early_s44.npz,250,4,early,44,6,0.4681818181818182,0.8636363636363636,0.11613163352012634,False
results/m1/n250_r4_mid_s42.npz,250,4,mid,42,18,0.3727272727272727,0.8090909090909091,0.12798576056957245,False
results/m1/n250_r4_mid_s43.npz,250,4,mid,43,18,0.45454545454545453,0.7863636363636363,0.10646916925907135,False
results/m1/n250_r4_mid_s44.npz,250,4,mid,44,18,0.4,0.7636363636363636,0.13415449857711792,False
results/m1/n250_r8_all_non_upper_s42.npz,250,8,all_non_upper,42,14,0.6954545454545454,0.5909090909090909,0.1161872074007988,False
results/m1/n250_r8_all_non_upper_s43.npz,250,8,all_non_upper,43,14,0.7090909090909091,0.5545454545454547,0.11077354103326797,False
results/m1/n250_r8_all_non_upper_s44.npz,250,8,all_non_upper,44,14,0.7000000000000001,0.6090909090909092,0.12131983041763306,False
results/m1/n250_r8_early_s42.npz,250,8,early,42,6,0.7863636363636364,0.6727272727272727,0.07833614200353622,False
results/m1/n250_r8_early_s43.npz,250,8,early,43,6,0.8,0.6818181818181818,0.07892365753650665,False
results/m1/n250_r8_early_s44.npz,250,8,early,44,6,0.7954545454545454,0.5954545454545455,0.08401243388652802,False
results/m1/n250_r8_mid_s42.npz,250,8,mid,42,18,0.6681818181818181,0.5818181818181819,0.10278235375881195,False
results/m1/n250_r8_mid_s43.npz,250,8,mid,43,18,0.7045454545454545,0.49999999999999994,0.13212692737579346,False
results/m1/n250_r8_mid_s44.npz,250,8,mid,44,18,0.6590909090909091,0.5499999999999999,0.13676178455352783,False
results/m1/n500_r16_all_non_upper_s42.npz,500,16,all_non_upper,42,14,0.8454545454545453,0.40454545454545454,0.15620142221450806,False
results/m1/n500_r16_all_non_upper_s43.npz,500,16,all_non_upper,43,14,0.8272727272727273,0.38636363636363635,0.1293412744998932,False
results/m1/n500_r16_all_non_upper_s44.npz,500,16,all_non_upper,44,14,0.8409090909090909,0.39545454545454545,0.11189267039299011,False
results/m1/n500_r16_early_s42.npz,500,16,early,42,6,0.959090909090909,0.4681818181818182,0.10619419068098068,False
results/m1/n500_r16_early_s43.npz,500,16,early,43,6,0.9636363636363636,0.4318181818181817,0.11318209767341614,False
results/m1/n500_r16_early_s44.npz,500,16,early,44,6,0.9227272727272727,0.4090909090909091,0.10446739196777344,False
results/m1/n500_r16_mid_s42.npz,500,16,mid,42,18,0.8409090909090909,0.3727272727272728,0.1579478234052658,False
results/m1/n500_r16_mid_s43.npz,500,16,mid,43,18,0.7818181818181817,0.32727272727272727,0.12574909627437592,False
results/m1/n500_r16_mid_s44.npz,500,16,mid,44,18,0.7909090909090909,0.3772727272727273,0.11714712530374527,False
results/m1/n500_r1_all_non_upper_s42.npz,500,1,all_non_upper,42,14,0.16818181818181818,0.9272727272727272,0.34715569019317627,False
results/m1/n500_r1_all_non_upper_s43.npz,500,1,all_non_upper,43,14,0.17727272727272728,0.9045454545454544,0.257266104221344,False
results/m1/n500_r1_all_non_upper_s44.npz,500,1,all_non_upper,44,14,0.17272727272727273,0.8772727272727273,0.22762764990329742,False
results/m1/n500_r1_early_s42.npz,500,1,early,42,6,0.18181818181818182,0.9727272727272728,0.25191977620124817,False
results/m1/n500_r1_early_s43.npz,500,1,early,43,6,0.18181818181818182,0.95,0.07567398250102997,False
results/m1/n500_r1_early_s44.npz,500,1,early,44,6,0.17727272727272728,0.9545454545454546,0.06866501271724701,False
results/m1/n500_r1_mid_s42.npz,500,1,mid,42,18,0.16818181818181818,0.909090909090909,0.2972031533718109,False
results/m1/n500_r1_mid_s43.npz,500,1,mid,43,18,0.17727272727272728,0.8636363636363636,0.2861335873603821,False
results/m1/n500_r1_mid_s44.npz,500,1,mid,44,18,0.15,0.8863636363636364,0.15551498532295227,False
results/m1/n500_r2_all_non_upper_s42.npz,500,2,all_non_upper,42,14,0.31363636363636366,0.8727272727272727,0.1592079997062683,False
results/m1/n500_r2_all_non_upper_s43.npz,500,2,all_non_upper,43,14,0.34545454545454546,0.868181818181818,0.13393184542655945,False
results/m1/n500_r2_all_non_upper_s44.npz,500,2,all_non_upper,44,14,0.33181818181818185,0.8454545454545453,0.1522883176803589,False
results/m1/n500_r2_early_s42.npz,500,2,early,42,6,0.35454545454545455,0.9272727272727274,0.11082885414361954,False
results/m1/n500_r2_early_s43.npz,500,2,early,43,6,0.46818181818181814,0.9045454545454544,0.07816054672002792,False
results/m1/n500_r2_early_s44.npz,500,2,early,44,6,0.33636363636363636,0.9045454545454544,0.07716938108205795,False
results/m1/n500_r2_mid_s42.npz,500,2,mid,42,18,0.25,0.859090909090909,0.1673266589641571,False
results/m1/n500_r2_mid_s43.npz,500,2,mid,43,18,0.2318181818181818,0.8136363636363636,0.10227512568235397,False
results/m1/n500_r2_mid_s44.npz,500,2,mid,44,18,0.3272727272727272,0.85,0.08856318891048431,False
results/m1/n500_r32_all_non_upper_s42.npz,500,32,all_non_upper,42,14,0.8454545454545453,0.40454545454545454,0.1209707111120224,False
results/m1/n500_r32_all_non_upper_s43.npz,500,32,all_non_upper,43,14,0.8272727272727273,0.38636363636363635,0.13249750435352325,False
results/m1/n500_r32_all_non_upper_s44.npz,500,32,all_non_upper,44,14,0.8409090909090909,0.39545454545454545,0.12071748077869415,False
results/m1/n500_r32_early_s42.npz,500,32,early,42,6,0.959090909090909,0.4681818181818182,0.09464593231678009,False
results/m1/n500_r32_early_s43.npz,500,32,early,43,6,0.9636363636363636,0.4318181818181817,0.11607687175273895,False
results/m1/n500_r32_early_s44.npz,500,32,early,44,6,0.9227272727272727,0.4090909090909091,0.10808838903903961,False
results/m1/n500_r32_mid_s42.npz,500,32,mid,42,18,0.8409090909090909,0.3727272727272728,0.11217981576919556,False
results/m1/n500_r32_mid_s43.npz,500,32,mid,43,18,0.7818181818181817,0.32727272727272727,0.12061713635921478,False
results/m1/n500_r32_mid_s44.npz,500,32,mid,44,18,0.7909090909090909,0.3772727272727273,0.12630751729011536,False
results/m1/n500_r4_all_non_upper_s42.npz,500,4,all_non_upper,42,14,0.509090909090909,0.7727272727272727,0.12757351994514465,False
results/m1/n500_r4_all_non_upper_s43.npz,500,4,all_non_upper,43,14,0.45454545454545453,0.75,0.11560915410518646,False
results/m1/n500_r4_all_non_upper_s44.npz,500,4,all_non_upper,44,14,0.4681818181818182,0.7863636363636364,0.1408998668193817,False
results/m1/n500_r4_early_s42.npz,500,4,early,42,6,0.5318181818181819,0.8954545454545454,0.06154636666178703,False
results/m1/n500_r4_early_s43.npz,500,4,early,43,6,0.49090909090909096,0.8681818181818183,0.1142459362745285,False
results/m1/n500_r4_early_s44.npz,500,4,early,44,6,0.4636363636363636,0.8454545454545456,0.1185058057308197,False
results/m1/n500_r4_mid_s42.npz,500,4,mid,42,18,0.41363636363636364,0.7727272727272727,0.13121145963668823,False
results/m1/n500_r4_mid_s43.npz,500,4,mid,43,18,0.4454545454545455,0.7363636363636363,0.11944130063056946,False
results/m1/n500_r4_mid_s44.npz,500,4,mid,44,18,0.4636363636363636,0.7636363636363636,0.1346171349287033,False
results/m1/n500_r8_all_non_upper_s42.npz,500,8,all_non_upper,42,14,0.7045454545454546,0.5136363636363636,0.11869044601917267,False
results/m1/n500_r8_all_non_upper_s43.npz,500,8,all_non_upper,43,14,0.7136363636363637,0.4636363636363637,0.10534574091434479,False
results/m1/n500_r8_all_non_upper_s44.npz,500,8,all_non_upper,44,14,0.6909090909090909,0.5272727272727272,0.11531886458396912,False
results/m1/n500_r8_early_s42.npz,500,8,early,42,6,0.8409090909090909,0.6,0.07788601517677307,False
results/m1/n500_r8_early_s43.npz,500,8,early,43,6,0.8181818181818182,0.5954545454545455,0.08041030913591385,False
results/m1/n500_r8_early_s44.npz,500,8,early,44,6,0.8136363636363636,0.5590909090909091,0.0800728052854538,False
results/m1/n500_r8_mid_s42.npz,500,8,mid,42,18,0.7136363636363637,0.5136363636363637,0.114161416888237,False
results/m1/n500_r8_mid_s43.npz,500,8,mid,43,18,0.75,0.44090909090909086,0.12387093901634216,False
results/m1/n500_r8_mid_s44.npz,500,8,mid,44,18,0.6818181818181818,0.4772727272727273,0.12895925343036652,False
results/m1/n50_r16_all_non_upper_s42.npz,50,16,all_non_upper,42,14,0.8,0.7045454545454546,0.14493390917778015,False
results/m1/n50_r16_all_non_upper_s43.npz,50,16,all_non_upper,43,14,0.8181818181818182,0.75,0.1446509063243866,False
