position,layer,auroc_harmfulness,auroc_refusal
t_final_instr-1,12,0.9918639053254439,0.9918639053254439
t_final_instr-1,13,0.9943602071005917,0.9943602071005917
t_final_instr-1,14,0.9973187869822485,0.9973187869822485
t_final_instr-1,15,0.997965976331361,0.997965976331361
t_final_instr-1,16,0.9960244082840237,0.9960244082840237
t_final_instr-1,17,0.9958394970414202,0.9958394970414202
t_final_instr-1,18,0.9945451183431953,0.9945451183431953
t_final_instr-1,19,0.9883505917159763,0.9883505917159763
t_final_instr-1,20,0.9937130177514792,0.9937130177514792
t_final_instr-1,21,0.9944526627218935,0.9944526627218935
t_final_instr-1,22,0.9953772189349113,0.9953772189349113
t_final_instr-1,23,0.9947300295857988,0.9947300295857988
t_final_instr-1,24,0.9935281065088758,0.9935281065088758
t_final_instr-1,25,0.9924186390532543,0.9924186390532543
t_final_instr-1,26,0.9913091715976331,0.9913091715976331
t_final_instr-1,27,0.9916789940828403,0.9916789940828403
t_final_instr-1,28,0.9483173076923077,0.9483173076923077
t_final_instr,0,0.9634800295857988,0.9634800295857988
t_final_instr,1,0.9644045857988166,0.9644045857988166
t_final_instr,2,0.9682877218934911,0.9682877218934911
t_final_instr,3,0.9765162721893491,0.9765162721893491
t_final_instr,4,0.9827107988165681,0.9827107988165681
t_final_instr,5,0.9857618343195267,0.9857618343195267
t_final_instr,6,0.9890902366863905,0.9890902366863905
t_final_instr,7,0.991771449704142,0.991771449704142
t_final_instr,8,0.9900147928994083,0.9900147928994083
t_final_instr,9,0.9776257396449705,0.9776257396449705
t_final_instr,10,0.9975961538461537,0.9975961538461537
t_final_instr,11,0.9995377218934911,0.9995377218934911
t_final_instr,12,0.9997226331360947,0.9997226331360947
t_final_instr,13,0.9996301775147929,0.9996301775147929
t_final_instr,14,0.9998150887573964,0.9998150887573964
t_final_instr,15,1.0,1.0
t_final_instr,16,0.9998150887573964,0.9998150887573964
t_final_instr,17,0.9996301775147929,0.9996301775147929
t_final_instr,18,0.9992603550295858,0.9992603550295858
t_final_instr,19,0.9987980769230769,0.9987980769230769
t_final_instr,20,0.9987980769230769,0.9987980769230769
t_final_instr,21,0.9987056213017752,0.9987056213017752
t_final_instr,22,0.9995377218934911,0.9995377218934911
t_final_instr,23,0.9997226331360947,0.9997226331360947
t_final_instr,24,0.9990754437869822,0.9990754437869822
t_final_instr,25,0.9989829881656804,0.9989829881656804
t_final_instr,26,0.9991678994082841,0.9991678994082841
t_final_instr,27,0.9982433431952662,0.9982433431952662
t_final_instr,28,0.9875184911242604,0.9875184911242604
t_post_instr-2,0,0.5,0.5
t_post_instr-2,1,0.9975961538461539,0.9975961538461539
t_post_instr-2,2,0.9893676035502958,0.9893676035502958
t_post_instr-2,3,0.9924186390532543,0.9924186390532543
t_post_instr-2,4,0.9918639053254438,0.9918639053254438
t_post_instr-2,5,0.9975961538461539,0.9975961538461539
t_post_instr-2,6,0.9987056213017751,0.9987056213017751
t_post_instr-2,7,0.9993528106508875,0.9993528106508875
t_post_instr-2,8,1.0,1.0
t_post_instr-2,9,1.0,1.0
t_post_instr-2,10,0.9998150887573964,0.9998150887573964
t_post_instr-2,11,0.9993528106508877,0.9993528106508877
t_post_instr-2,12,0.9998150887573964,0.9998150887573964
t_post_instr-2,13,0.9997226331360947,0.9997226331360947
t_post_instr-2,14,0.9997226331360947,0.9997226331360947
t_post_instr-2,15,0.9997226331360947,0.9997226331360947
t_post_instr-2,16,0.9996301775147929,0.9996301775147929
t_post_instr-2,17,0.9998150887573964,0.9998150887573964
t_post_instr-2,18,0.9998150887573964,0.9998150887573964
